Vessel,Days,horus,1176,1152,1128,1104,1080,1056,1032,1008,984,960,936,912,888,864,840,816,792,768,744,720,696,672,648,624,600,576,552,528,504,480,456,432,408,384,360,336,312,288,264,240,216,192,168,144,120,96,72,48,24,
13:23E,29,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.4,-1.3,-1.3,-1.2,-1.2,-1.1,-0.7,-0.3,25,6.3,20.2,,,,,,12
13:23E,29,696,,,,,,,,,-1.3,-1.2,-1.2,-1,-0.1,-0.8,-0.5,-0.3,-0.4,-0.1,0.4,0.6,,1.7,2.3,3.3,5,,22.8,,,,,,,,,,,,,,,,,,,,,,,17
13:24E,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1,0.1,1.3,4.8,8.9,13.8,19,21.7,22.4,10
13:25E,30,720,,,,,,,,,,,,,-0.9,,,-0.8,-0.8,-0.8,-0.8,-0.9,,-0.7,-0.4,1.5,4.7,,23.4,,,23.3,23.5,23.9,24.2,,,,,,,,,,,,,,,,,15
13:25E,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.2,-0.7,-0.1,1.9,4.9,9.2,11.4,17.1,20.7,10
13:26E,14,336,,,,,,,,,-0.9,-0.8,-0.8,-0.6,-0.2,,,8.3,14.9,24.1,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
13:26E,50,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,-1,0.4,2.6,5.8,10.3,15.5,19.7,22,9
13:27F,23,552,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,-1.2,,,-1.2,-0.7,0.3,2.1,4.3,12.4,20.1,20.9,21,,,,,,,,,,,,11
13:28F,37,888,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,-1.4,,,-1.5,-1.3,-0.8,1,2.6,8,16.9,20.1,20,,,,,,,,,,,,11
13:29F,37,888,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,-1.4,,,-1.3,-0.8,-0.3,1.4,3.3,9,18.4,21.2,21.3,,,,,,,,,,,,11
13:30F,37,888,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,-1.3,,,-1.3,-1.1,-0.5,1,3.1,9,18.1,20.9,21.1,,,,,,,,,,,,11
13:31F,37,888,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,-1.3,-1.1,-0.7,0.4,2.2,8.3,18,20.7,20.7,,,,,,,,,,,,10
13:32F,37,888,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,,-1.2,-1.1,0.9,0,0.6,5,16.3,20.9,21,,,,,,,,,,,,10
13:33F,37,888,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,,-1.4,,,-1.3,-1.2,-0.6,0.8,2.1,7.6,17.1,20.5,20.6,,,,,,,,,,,,11
15:02A,13,312,,,,,,,,,,,,,,,-1.7,-1.6,-1.4,-1.5,-1.2,-0.9,-0.7,-0.3,0,0.5,0.5,1.3,1.9,2.3,2.9,3.3,4.7,5.2,5.7,7,8.4,9.3,10.3,13.2,13.8,15.3,16.9,20.2,20.5,20.6,20.5,20.5,20.6,,,33
15:04A,14,336,,,,,,,,,,,,,,,-1,-1,-0.8,-0.4,-0.3,0.2,0.7,1.5,2.3,2.8,3.4,5.3,7.1,9.4,12.3,13.9,17.8,20.2,20.4,,,,,,,,,,,,,,,,,19
15:04A,2,48,,,,0,-0.1,0.2,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
15:05A,15,360,,,,,,,,,,,,,,,,,-2,-2.1,-1.9,-1.8,-1.6,-1.3,-1,-0.6,-0.6,0.2,0.8,1.1,1.6,1.9,2.6,3.2,3.8,4.4,5.8,7,8.3,10.3,10.8,12.7,14.7,18.2,18.9,21.5,21.4,,,,,29
15:08B,11,264,,,,,,,,,,,,,-1.7,,,-1.2,-0.8,-0.2,-0.5,0.2,0.6,1.4,2.1,2.8,3,4.2,4.7,6.2,7.5,8.1,9.9,11.6,13.6,15.9,18.3,18.1,,,,,,,,,,,,,,22
15:08B,11,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,19.1,,,,,,,,,,,,,2
15:10B,39,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.2,1.4,2.9,3.6,6.4,7.6,9.8,12.5,9
15:11B,41,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,-1.1,-0.9,0,0.4,1.1,2.6,7
15:12B,26,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,-0.8,0.4,1.6,2.3,4,4.9,6.4,7.5,10.1,10.9,12.8,15.2,18.8,19.7,21.3,,,,,,16
15:14B,22,528,,,,,,,,,,,,,,,,,,,,,,,,-1.5,-1.4,-0.9,-0.5,,0.7,0.7,0.8,1.9,2.6,3,4,5.2,6.7,,9.4,11.1,13.2,18.1,19.4,,,,,,,18
15:15B,29,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-0.7,0.5,1.5,2.4,4.1,5.8,7.4,9.8,12.2,15.3,18.6,21.4,22.6,,,,,,14
20:01A,20,480,,,,,,,,,,,,,,,,,,,,,,-0.6,-0.3,-0.1,0.1,0.9,0.8,1.7,2.2,3.1,3.9,5.1,5.9,7.3,8.7,10.1,11.8,14,15.9,17.9,21.5,,,,,,,,,20
20:02B,52,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,9.2,10.6,11.2,13.5,14.9,16.6,17.8,8
20:02B,14,336,,,,,,,,,,,,,,,,-1.1,-0.2,0.5,1.4,2.4,3.1,4,5.4,6.7,7.4,9.6,11.4,13.3,15.4,17,18.7,20.9,21.9,22.3,,,,,,,,,,,,,,,,19
20:03B,22,528,,,,,,,,,,,,,,,,,,,,,,,,-1.7,-1.7,-1.1,-0.6,-0.5,0.1,0.5,1,1.8,2.1,3.3,4.3,5.6,6.6,7.8,9.1,11,12.3,14.3,16.9,21.2,,,,,,21
20:04B,21,504,,,,,,,,,,,,,,,,,,,,,,,-1.5,-1.2,-1.1,-0.4,0.1,0.8,1.5,2,2.8,3.4,4.4,5.1,6,7.2,7.6,9,10.3,11.7,12.7,14.6,17.3,21.1,,,,,,22
20:05B,28,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-1.7,-1.2,-0.9,-0.2,0.5,1.2,2.1,3.1,4.3,5.7,6.9,8.1,9.5,11.5,12.4,15.3,12.1,19.6,21.1,20
20:06B,24,576,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,-1.2,-1.1,-0.8,-0.5,-0.3,0.3,1,1.5,2.2,3,3.8,4.5,3.3,6.2,7,7.8,8.4,,11.3,13.9,16.5,18.5,20.7,23
